datetime,temp23,humi23,temp24,humi24
20230204_000001,4.3,83.5,4.5,89.7
20230204_001502,4.2,84.3,4.5,90.1
20230204_003001,4.2,84.7,4.5,90.6
20230204_004501,4.2,85.2,4.5,90.7
20230204_010002,4.1,85.0,4.5,91.2
20230204_011501,4.0,85.7,4.4,91.2
20230204_013001,4.1,85.7,4.4,91.7
20230204_014502,4.0,86.0,4.4,91.4
20230204_020001,4.0,85.5,4.5,91.1
20230204_021501,3.9,86.4,4.4,91.1
20230204_023002,3.9,86.2,4.4,91.9
20230204_024501,3.9,85.9,4.4,91.6
20230204_030001,3.9,86.7,4.4,91.4
20230204_031502,3.9,86.4,4.4,91.7
20230204_033001,3.9,85.8,4.4,91.3
20230204_034501,3.9,86.2,4.5,91.5
20230204_040002,3.8,86.6,4.5,91.5
20230204_041501,3.6,86.3,4.4,91.5
20230204_043001,3.5,86.4,4.4,91.1
20230204_044502,3.5,86.4,4.3,91.2
20230204_050001,3.4,86.6,4.3,91.1
20230204_051501,3.3,86.5,4.2,90.8
20230204_053002,3.3,86.4,4.2,90.6
20230204_054501,3.1,86.2,4.1,90.2
20230204_060001,3.0,86.5,4.1,89.8
20230204_061502,2.9,86.3,4.0,89.6
20230204_063001,2.8,86.1,4.0,89.4
20230204_064501,2.8,86.1,3.9,89.3
20230204_070001,2.7,86.0,3.9,89.1
20230204_071501,2.7,85.5,3.9,88.8
20230204_073001,2.7,85.7,3.9,89.0
20230204_074501,2.7,85.9,3.9,89.0
20230204_080001,2.6,86.2,3.9,89.2
20230204_081501,2.6,85.8,3.8,89.0
20230204_083001,2.6,86.1,3.8,89.0
20230204_084501,2.6,85.5,3.8,89.0
20230204_090001,2.7,85.8,3.7,88.8
20230204_091502,2.7,85.1,3.8,88.4
20230204_093001,2.7,85.0,3.7,88.0
20230204_094501,2.8,84.5,3.7,88.2
20230204_100001,2.8,84.3,3.7,88.1
20230204_101501,4.1,79.2,3.9,87.7
20230204_103001,3.6,81.1,4.0,87.1
20230204_104501,3.7,81.1,4.0,87.5
20230204_110001,3.6,82.3,4.0,87.6
20230204_111501,3.6,82.4,4.0,87.5
20230204_113001,3.7,81.1,4.0,87.6
20230204_114501,3.5,80.4,4.1,87.0
20230204_120001,3.6,80.9,4.0,87.2
20230204_121501,3.5,80.2,4.1,86.1
20230204_123001,3.5,80.2,4.1,86.5
20230204_124501,3.6,80.4,4.1,86.8
20230204_130001,3.8,76.9,4.1,86.0
20230204_131501,3.9,79.0,4.2,86.1
20230204_133001,4.1,76.2,4.2,86.0
20230204_134501,4.2,75.4,4.2,85.9
20230204_140001,4.1,72.9,4.3,84.2
20230204_141501,4.5,70.2,4.3,83.5
20230204_143001,4.2,73.2,4.4,84.7
20230204_144501,4.1,74.9,4.4,85.3
20230204_150001,4.0,76.7,4.3,85.0
20230204_151502,4.0,75.3,4.4,85.4
20230204_153001,4.0,76.1,4.4,85.0
20230204_154501,4.2,75.3,4.4,84.8
20230204_160001,4.1,78.0,4.4,85.1
20230204_161501,4.0,76.5,4.4,85.2
20230204_163001,3.9,78.5,4.4,85.4
20230204_164501,3.9,78.9,4.4,85.5
20230204_170001,3.8,77.2,4.4,85.6
20230204_171501,3.6,78.0,4.4,85.7
20230204_173001,3.5,79.9,4.3,85.7
20230204_174501,3.5,80.6,4.3,85.5
20230204_180001,3.4,81.2,4.3,85.8
20230204_181501,3.3,81.7,4.3,85.9
20230204_183001,3.2,81.2,4.2,85.9
20230204_184501,3.0,81.0,4.2,85.7
20230204_190001,2.9,81.7,4.2,85.5
20230204_191501,2.8,82.5,4.1,85.5
20230204_193001,2.7,82.9,4.0,85.5
20230204_194501,2.5,83.1,4.0,85.5
20230204_200001,2.3,83.8,3.9,85.5
20230204_201501,2.2,84.2,3.9,85.4
20230204_203001,2.0,84.4,3.8,85.3
20230204_204501,1.8,84.9,3.7,85.5
20230204_210001,1.7,85.6,3.6,85.4
20230204_211501,1.5,85.8,3.5,85.5
20230204_213002,1.4,86.1,3.5,85.4
20230204_214501,1.2,86.1,3.3,85.3
20230204_220001,1.0,86.3,3.3,85.4
20230204_221501,1.0,86.3,3.2,85.4
20230204_223001,1.0,85.9,3.1,85.4
20230204_224501,0.8,85.9,3.1,85.5
20230204_230001,0.8,85.7,3.1,85.7
20230204_231501,0.7,85.8,3.0,85.8
20230204_233001,0.6,85.8,3.0,85.7
20230204_234502,0.6,86.1,2.9,85.7
